Paragraphe 1;Paragraphe 2;Paragraphe 3;Paragraphe 4;Paragraphe 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut, je suis là pour faire connaissance avec des hommes et ayant parcouru ton profil plusieurs fois, tu m’as l’air d’un mec sympa et ça me donne envie de te connaitre. ;"Je suis une femme qui ne prend pas la tête et toujours de bonne humeur. Sans me vanter, je pense être une bonne affaire ;) .";J’ai un emploi du temps qui me permet aisément de me libérer en journée et en soirée, vu que je me trouve à 2 pas du centre, je pense que se retrouver là bas serait pas mal. Pas pour manger car si tu es aussi  beau que sur ton profil, cela va me couper l’appétit mais boire un verre me mettrait plus à l’aise, alors si ça te dit…;Je t’avoue que je serais frustrée de ne pas avoir de réponse de ta part, car tu serais ma plus grosse déception sur ce site.;En espérant que tu voies ce message au plus vite.. Bisou.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C’est vrai que c’est assez rare qu’une femme fasse le premier pas mais je flache trop rarement sur des profils pour passer à côté d’un profil comme le tien.;Je pense te plaire physiquement, je ne veux pas paraitre prétentieuse mais je suis beaucoup courtisée par les mecs, mais moi ce que je veux c’est simplement m’amuser.;Je dois te dire que le bla bla sur l’ordinateur ça va 5mn, mais je préfèrerai de loin faire ta connaissance entre 4 yeux dans un restaurant, un bar, chez toi ou encore chez moi…;J’ai un très bon ressenti sur notre éventuelle future rencontre, dès fois il y a des choses sur lesquelles je suis convaincue.;En espérant avoir de tes nouvelles au plus vite, je te laisse non sans te faire un tendre bisou, qui j’espère ne sera pas le dernier…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je pense que tu vas être étonné de recevoir un message de moi mais avant toute rencontre, il faut que l’un des 2 fasse le premier pas !;C’est bizarre mais tu m’as l’air d’un gras très sympathique et honnêtement c’est ce qui me pousse à vouloir te rencontrer, car je sens que tu as ce qu’il faut pour me faire fondre.;Comment verrais tu une première rencontre avec moi, plutôt dans un endroit public comme un café ou un ciné ou alors dans un endroit plus intimiste comme chez moi ou encore ma chambre???;Ici sur ce site, je vais être honnête avec toi, te rencontrer et te charmer est ma priorité.;Je ne te dis pas au revoir, mais à très bientôt j’espère.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je vais être honnête avec toi, cela fait un long moment que je suis inscrite sur ce site de rencontre, et c’est la première fois qu’un profil me donne l’envie de prendre contact la première.;Je suis une femme qui comme toi cherche à faire des rencontres plus ou moins sérieuses sans prise de tête, et tu fais partie de ceux avec qui c’est potentiellement réalisable.;Je viens de faire mon retour ici car j’avais quitté la région pour suivre mon ex il y a de ça quelques temps, j’ai pu récupérer mon appartement que j’avais mis en location, et je n’ai aucun soucis à recevoir, si je juge que tu en vaux vraiment la peine bien évidement.;Je suis sure que si tu acceptes ma proposition tu ne seras pas déçue par celle qui se présentera face à toi.;Voila voila, à tout de suite..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bien que je trouve ça  un peu bizarre de contacter un inconnu comme ça, je me dis que si l’on est sur un site de rencontre, c’est pour rencontrer des inconnus, alors je me lance…;Je ne vais pas te donner mes mensurations non plus mais j’aime ce que je suis physiquement, et je sais me mettre en valeur pour plaire aux hommes.;Je n’habite pas dans le centre mais j’ai une voiture pour me déplacer donc si ta réponse est positive je n’ai aucun soucis à te rejoindre dans le lieu de ton choix.;Que dire de plus à part que je suis impatiente que tu me répondes que tu souhaites me rencontrer.;Si tu es pressé comme moi, retrouves moi sur le tchat au plus vite.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je n’arrive pas à croire que je te contacte comme ça alors que je ne te connais même pas, mais je sais pas, ton profil m’a mise en confiance, et je ne pense pas que ce soit un hasard.;Je suis là pour faire connaissance avec des mecs, pour prendre du bon temps sans se poser de questions, je ne suis pas ici pour chercher l’amour non plus, ma situation me convient parfaitement.;Je pense que les sites de rencontre c’est sympa pour faire le début du taff mais je préfère de loin boire un verre pour voir si il faut prolonger la rencontre ou pas.;Qu’ajouter de plus à part que si tu refuses de me répondre c’est que vraiment je ne comprends rien aux hommes.;Voila à toi de jouer maintenant.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alors c’est comme ça, tu habites dans la même ville que moi et je n’ai pas eu la chance de te rencontrer… Je pense que je m’en serais souvenue.. Ca te tente que l’on fasse connaissance?;En ce qui me concerne, je suis très jolie et pense pouvoir te plaire et te donner envie d’en savoir plus sur moi. Tu verras, j’aime juste profiter la vie et ne pas gâcher celle des autres.;Bon que dire de plus à part que si de ton côté une femme comme moi te branche, je pense que pour une première rencontre c’est moi qui te mènerai sur mon terrain, je connais un resto très convivial, et qui en plus se trouve juste en bas de chez moi, car ne sait on jamais, on a parfois des envies pressantes lol.;Je dois te dire qu’à l’instant où je t’écris je suis déjà impatiente que tu me répondes.;"Je préfère ne pas te dire à bientôt, mais à tout de suite ;) .";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Je suis stressée comme une gamine de t’écrire, je dois avouer que tu m’as tapé dans l’oeil. Je suis sur ce site pour rencontrer des mecs qui me plaisent comme toi.;Je ne sais pas si tu es plutôt brune ou blonde, mais saches que j’ai les atouts pour te plaire ça j’en suis certaine.;Bon voila j’ai plus ou moins fait le tour de ce que j’avais à te dire, la balle est dans ton camp maintenant, A toi de voir si je vaux la peine que tu te déplaces pour me rencontrer.;Allez réponds moi vite parceque je trufferais vraiment cruel que celui sur qui j’ai flaché ne prenne même pas la peine de me répondre.;Je vais me connecter un peu plus qu’à l’accoutumée, histoire de ne pas rater ta réponse. A très bientôt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, comment ça va? Au risque de passer pour une affamée, je me lâche. Tu es troooop charmant, et je ne décroche plus de ton profil!;Parlons un peu de moi, je suis assez mince et élégante, j’aime prendre soin de moi et encore plus de ceux qui me plaisent, mais ce ne sont que des paroles, je préfère que tu découvres mes qualités par toi même.;Comment je verrais un premier rendez vous avec toi? et bien très classique, on boit un café dans le bar en bas de ma rue, et si tu assures, on ira en boire un autre chez moi, on sera plus au calme.;Je pense que si tu ne réponds pas à mon invitation je n’ai plus rien à faire ici lol, non je plaisante mais moi je veux juste ce qui se fait de mieux ici!!;Bizarrement, aujourd’hui je crois que je ne vais pas fermer ma session dans l’espoir de ton retour.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, tu dois te demander qui je suis.. C’est vrai qu’on ne se connait pas mais j’ai de mon coté, très envie que l’on fasse connaissance.;Comme tu t’en doutes, je te trouve très charmant, et j’espère que ma jolie silhouette te fera tourner la tête autant que la mienne a tourné en voyant ton profil.;Bon par contre, si tu me donnes une réponse positive, je trouverais dommage de pas se voir au plus vite vu que l’on se trouve l’un l’autre dans le même secteur… Un salon de thé, un resto ou chez moi… On verra bien au moment voulu.;Désolé de passer pour une femme impatiente mais je me dis qu’au plus le temps passe, au plus les autres femmes sont susceptibles de t’éloigner un peu plus de moi.;Je verrai bien assez vite si tu donnes suite ou pas à ma proposition, je serai  sur le tchat ou pas très loin si tu me cherches.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coucou.. Même si c’est pas du tout mon genre, je me lance, je suis tombée sur ta fiche de profil, et tu m’as interpellé, c’est pour ça que j’aimerais que l’on fasse connaissance toi et moi.;Je ne suis pas aussi directe d’habitude, mais je suis vraiment une femme en manque d’affection, et c’est bizarre, mais c’est avec toi que j’ai envie de briser cette solitude et ce manque.;Je n’ai pas énormément de temps libres actuellement mais j’arrive toujours à m’arranger pour un mec craquant comme toi, donc si j’ai un retour de ta part, je suis ouverte pour te rencontrer, j’ai un pied à terre juste derrière la mairie.;J’espère sincèrement que tu te laisseras tenter par une rencontre en tête à tête avec moi car je suis convaincue que tout ça en vaut la peine.;Voilou, si tu me cherches, tu sais maintenant où me trouver.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salut. Je tiens à te dire que c’est la seule fois depuis que je suis sur ce site de rencontre que je prends l’initiative de contacter un mec, mais j’ai lu ton profil, et depuis j’ai vraiment envie de venir te parler.;De mon côté je suis très sportive, et plutôt bien foutue, je suis très soignée et très douce, et j’aime la douceur et les bons moments de la vie. ;Bon je préfère prendre un peu de temps pour te découvrir avant d’aller éventuellement plus loin, mais si tu es partant et si tu sais me mettre en confiance, je peux vite devenir ton passe temps préféré hihihi!!!;Maintenant, il ne me reste plus qu’à croiser les doigts pour espérer que tu liras mon mail, je ne vais pas arrêter de compter les minutes maintenant.;C’est toi le maitre des cartes maintenant, alors à toi de jouer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coucou toi, j’ai mis du temps avant de me décider mais j’ai fini par me convaincre de me lancer, car j’aimerais échanger un peu avec toi en vue d’une éventuelle future rencontre entre toi et moi.;Je suis une fille très pulpeuse, je tiens ça de mes origines, j’ai des hanches généreuses et j’ai su les apprivoiser pour en faire mon atout majeur hihihi.;Ca me rend dingue car je suis persuadée que l’on habite pas loin l’un de l’autre, et ca me blase de passer ma soirée seule quand je sais qu’un charmant célibataire comme toi se ballade dans mon secteur.;Je vais te dire, tu n’as pas le droit de ne pas me répondre!! Même si tu n’es pas intéressé j’aimerais au moins que tu me donnes tes impressions sur mon petit numéro de charme!!;Je n’ai rien de prévu ce soir, je pense passer sur le tchat, si ça te dit de m’y retrouver…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, on ne se connait pas encore malheureusement mais plus je m’arrete sur ton profil, plus cela me donne envie de te rencontrer.;Je ne sais pas si tu as un genre de femme qui t’attire en particulier, mais saches que je pense de mon coté avoir le charme nécessaire pour te donner envie de me découvrir un peu plus.;Alors j’attends ta réponse joli célibataire… Et puis un petit café n’engage en  rien et au moins cela permet de ne pas avoir de regrets.;Bon il me reste plus qu’à espérer que tu prennes la peine de me répondre , parce que j’y tiens vraiment.;Ne fais pas ton timide avec moi, oui ou non ne changera pas la bonne opinion que je me suis faite sur toi.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
